,precision,recall,f1-score,support
0,0.9354838709677419,0.9666666666666667,0.9508196721311475,90.0
1,0.9021739130434783,0.9764705882352941,0.9378531073446328,85.0
2,0.9878048780487805,0.9642857142857143,0.9759036144578314,84.0
3,0.9285714285714286,0.8227848101265823,0.87248322147651,79.0
4,0.927710843373494,0.9506172839506173,0.9390243902439024,81.0
5,0.8732394366197183,0.8157894736842105,0.8435374149659864,76.0
6,0.797752808988764,0.8554216867469879,0.8255813953488372,83.0
7,0.896551724137931,0.87248322147651,0.8843537414965986,149.0
8,0.9172932330827067,0.9312977099236641,0.9242424242424242,131.0
9,0.92,0.92,0.92,150.0
10,0.9857142857142858,0.9857142857142858,0.9857142857142858,140.0
accuracy,0.9181184668989547,0.9181184668989547,0.9181184668989547,0.9181184668989547
macro avg,0.9156633111407572,0.9146846764373212,0.914501206129287,1148.0
weighted avg,0.918716866447594,0.9181184668989547,0.9178840616263715,1148.0
