,precision,recall,f1-score,support
0,0.9157814871016692,0.9263238679969301,0.9210225104921785,1303.0
1,0.9355432780847146,0.92616226071103,0.9308291342189647,1097.0
2,0.8665239114917915,0.8501400560224089,0.8582537999293036,1428.0
3,0.8885542168674698,0.8952959028831563,0.891912320483749,659.0
4,0.8941860465116279,0.9079102715466352,0.90099589923843,847.0
5,0.90559186637618,0.8526495726495726,0.8783236485296707,2925.0
6,0.7831050228310502,0.9042179261862917,0.8393148450244698,1138.0
accuracy,0.8852825369798872,0.8852825369798872,0.8852825369798872,0.8852825369798872
macro avg,0.884183689894929,0.8946714082851466,0.8886645939881095,9397.0
weighted avg,0.8875080275413172,0.8852825369798872,0.8855963636425915,9397.0
