,precision,recall,f1-score,support
0,0.9468675654242664,0.9163468917881811,0.9313572542901716,1303.0
1,0.9512195121951219,0.9243391066545124,0.9375866851595007,1097.0
2,0.8717221828490432,0.8613445378151261,0.8665022895385699,1428.0
3,0.8593530239099859,0.9271623672230652,0.891970802919708,659.0
4,0.887260428410372,0.9291617473435655,0.9077277970011534,847.0
5,0.8940936863543788,0.9005128205128206,0.8972917731221257,2925.0
6,0.873542600896861,0.8558875219683656,0.8646249445184199,1138.0
accuracy,0.8985846546770245,0.8985846546770245,0.8985846546770245,0.8985846546770245
macro avg,0.8977227142914328,0.9021078561865196,0.8995802209356641,9397.0
weighted avg,0.8991395400406251,0.8985846546770245,0.8986519306001265,9397.0
