,precision,recall,f1-score,support
0,0.9435215946843853,0.9466666666666667,0.9450915141430949,300.0
1,0.9715639810426541,0.9070796460176991,0.9382151029748284,226.0
2,0.9376558603491272,0.9591836734693877,0.9482976040353089,392.0
3,0.9226932668329177,0.961038961038961,0.9414758269720102,385.0
4,0.9590361445783132,0.943127962085308,0.951015531660693,422.0
5,0.9155844155844156,0.8730650154798761,0.8938193343898574,323.0
6,0.907563025210084,0.9364161849710982,0.9217638691322901,346.0
accuracy,0.9352548036758563,0.9352548036758563,0.9352548036758563,0.9352548036758563
macro avg,0.9368026126116996,0.9323683013898567,0.934239826186869,2394.0
weighted avg,0.9356273053788596,0.9352548036758563,0.935140943930582,2394.0
